id,season,team1,team2,venue,toss_winner,toss_decision,winner,toss_win_equals_match_win,match_id,team1_total_runs,team1_wickets_lost,team1_powerplay_runs,team1_y,team2_y,team2_total_runs,team2_wickets_lost,team2_powerplay_runs
335982,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,335982,82,9,33,Royal Challengers Bangalore,Kolkata Knight Riders,222,3,68
335983,2007/08,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,1,335983,207,4,69,Kings XI Punjab,Chennai Super Kings,240,5,62
335984,2007/08,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,0,335984,132,1,59,Delhi Daredevils,Rajasthan Royals,129,6,44
335985,2007/08,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,0,335985,165,5,54,Mumbai Indians,Royal Challengers Bangalore,166,5,46
335986,2007/08,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,0,335986,112,5,33,Kolkata Knight Riders,Deccan Chargers,110,9,45
335987,2007/08,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,0,335987,168,4,60,Rajasthan Royals,Kings XI Punjab,166,7,59
335988,2007/08,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,0,335988,142,7,34,Deccan Chargers,Delhi Daredevils,143,1,55
335989,2007/08,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,0,335989,208,4,59,Chennai Super Kings,Mumbai Indians,202,6,57
335990,2007/08,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,1,335990,214,5,61,Deccan Chargers,Rajasthan Royals,217,6,82
335991,2007/08,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,0,335991,182,8,70,Kings XI Punjab,Mumbai Indians,116,8,46
335992,2007/08,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,1,335992,135,6,64,Royal Challengers Bangalore,Rajasthan Royals,138,3,52
335993,2007/08,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,0,335993,152,1,55,Chennai Super Kings,Kolkata Knight Riders,147,8,63
335994,2007/08,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,1,335994,154,7,35,Mumbai Indians,Deccan Chargers,155,0,83
335995,2007/08,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,0,335995,162,5,62,Kings XI Punjab,Delhi Daredevils,158,7,54
335996,2007/08,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,1,335996,165,8,56,Royal Challengers Bangalore,Chennai Super Kings,178,4,43
335997,2007/08,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,0,335997,137,7,47,Kolkata Knight Riders,Mumbai Indians,138,3,43
335998,2007/08,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,0,335998,191,4,71,Delhi Daredevils,Royal Challengers Bangalore,181,5,59
335999,2007/08,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,1,335999,164,7,54,Deccan Chargers,Kings XI Punjab,167,2,46
336000,2007/08,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,1,336000,196,6,53,Rajasthan Royals,Kolkata Knight Riders,151,7,54
336001,2007/08,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,0,336001,169,5,54,Chennai Super Kings,Delhi Daredevils,172,2,83
336003,2007/08,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,1,336003,178,5,57,Kings XI Punjab,Kolkata Knight Riders,169,6,35
336034,2007/08,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore,0,336034,156,7,51,Royal Challengers Bangalore,Deccan Chargers,153,6,43
336004,2007/08,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,0,336004,162,8,54,Mumbai Indians,Delhi Daredevils,133,9,42
336005,2007/08,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,0,336005,110,2,58,Rajasthan Royals,Chennai Super Kings,109,10,41
336006,2007/08,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,1,336006,126,7,32,Royal Challengers Bangalore,Kings XI Punjab,127,4,55
336007,2007/08,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,1,336007,144,7,43,Chennai Super Kings,Deccan Chargers,148,3,58
336008,2007/08,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,1,336008,104,3,41,Mumbai Indians,Rajasthan Royals,103,10,56
336009,2007/08,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,1,336009,187,5,59,Delhi Daredevils,Chennai Super Kings,188,5,71
336010,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,336010,129,5,45,Kolkata Knight Riders,Royal Challengers Bangalore,124,2,38
336011,2007/08,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,1,336011,141,2,57,Rajasthan Royals,Deccan Chargers,140,6,54
